Base Word,IPA,IPA Cambs,audio filename
clothes,kləʊðz,kləʊðz,1clothes
and,ænd,#######,2and
and,ænd,#######,3and
because,bɪˈkɒz,bɪˈkəz,4because
but,bʌt,#######,5but
as,æz,#######,6as
and,ænd,#######,7and
eight,eɪt,eɪt,8eight
eighteen,ˌeɪˈtiːn,ˌeɪˈtiːn,9eighteen
eleven,ɪˈlevən,"ɪˈlev.<span class=""sp dsp"">ə</span>n",10eleven
fifteen,ˌfɪfˈtiːn,ˌfɪfˈtiːn,11fifteen
five,faɪv,faɪv,12five
four,fɔː,"fɔː<span class=""sp dsp"">r</span>",13four
fourteen,ˌfɔːˈtiːn,ˌfɔːˈtiːn,14fourteen
nine,naɪn,naɪn,15nine
nineteen,ˌnaɪnˈtiːn,ˌnaɪnˈtiːn,16nineteen
or,ɔː,#######,17or
one,wʌn,wʌn,18one
second,ˈsekənd,"ˈsek.<span class=""sp dsp"">ə</span>nd",19second
seven,ˈsevən,"ˈsev.<span class=""sp dsp"">ə</span>n",20seven
seventeen,ˌsevnˈtiːn,"ˌsev.<span class=""sp dsp"">ə</span>nˈtiːn",21seventeen
six,sɪks,sɪks,22six
sixteen,ˌsɪksˈtiːn,ˌsɪkˈstiːn,23sixteen
ten,ten,ten,24ten
thirteen,ˌθɜːˈtiːn,θɜːˈtiːn,25thirteen
three,θriː,θriː,26three
to,tuː,#######,27to
twelve,twelv,twelv,28twelve
twenty,ˈtwenti,ˈtwen.ti,29twenty
two,tuː,tuː,30two
CD player,ˌsiːˈdiː ˌpleɪ.ə,,31CD player
animal,ˈænɪməl,"ˈæn.ɪ.m<span class=""sp dsp"">ə</span>l",32animal
bird,bɜːd,bɜːd,33bird
cat,kæt,kæt,34cat
book,bʊk,bʊk,35book
camera,ˈkæmərə,ˈkæm.rə,36camera
arm,ɑːm,ɑːm,37arm
body,ˈbɒdi,ˈbɒd.i,38body
coat,kəʊt,kəʊt,39coat
answer,ˈɑːnsə,"ˈɑːn.sə<span class=""sp dsp"">r</span>",40answer
answer,ˈɑːnsə,"ˈɑːn.sə<span class=""sp dsp"">r</span>",41answer
ask,ɑːsk,ɑːsk,42ask
class,klɑːs,klɑːs,43class
bar,bɑː,"bɑː<span class=""sp dsp"">r</span>",44bar
biscuit,ˈbɪskɪt,ˈbɪs.kɪt,45biscuit
café,ˈkæfeɪ,ˈkæf.eɪ,46café
bread,bred,bred,47bread
butter,ˈbʌtə,"ˈbʌt.ə<span class=""sp dsp"">r</span>",48butter
apple,ˈæpl,"ˈæp.<span class=""sp dsp"">ə</span>l",49apple
banana,bəˈnɑːnə,bəˈnɑː.nə,50banana
breakfast,ˈbrekfəst,ˈbrek.fəst,51breakfast
cake,keɪk,keɪk,52cake
cheese,ʧiːz,tʃiːz,53cheese
chocolate,ˈʧɒkəlɪt,ˈtʃɒk.lət,54chocolate
address,əˈdres,əˈdres,55address
bath,bɑːθ,bɑːθ,56bath
bathroom,ˈbɑːθruːm,ˈbɑːθ.ruːm,57bathroom
bedroom,ˈbedruːm,ˈbed.ruːm,58bedroom
chair,ʧeə,"tʃeə<span class=""sp dsp"">r</span>",59chair
bed,bed,bed,60bed
bank,bæŋk,bæŋk,61bank
beach,biːʧ,biːtʃ,62beach
bath,bɑːθ,bɑːθ,63bath
carry,ˈkæri,ˈkær.i,64carry
clean,kliːn,kliːn,65clean
catch,kæʧ,kætʃ,66catch
change,ʧeɪnʤ,tʃeɪndʒ,67change
choose,ʧuːz,tʃuːz,68choose
close,kləʊs,kləʊz,69close
adult,ˈædʌlt,ˈæd.ʌlt,70adult
baby,ˈbeɪbi,ˈbeɪ.bi,71baby
beard,bɪəd,bɪəd,72beard
boy,bɔɪ,bɔɪ,73boy
birthday,ˈbɜːθdeɪ,ˈbɜːθ.deɪ,74birthday
brother,ˈbrʌðə,"ˈbrʌð.ə<span class=""sp dsp"">r</span>",75brother
bag,bæg,bæɡ,76bag
ball,bɔːl,bɔːl,77ball
box,bɒks,bɒks,78box
business,ˈbɪznɪs,ˈbɪz.nɪs,79business
basketball,ˈbɑːskɪtˌbɔːl,ˈbɑː.skɪt.bɔːl,80basketball
address,əˈdres,əˈdres,81address
CD,ˌsiːˈdiː,ˌsiːˈdiː,82CD
boat,bəʊt,bəʊt,83boat
bus,bʌs,bʌs,84bus
car,kɑː,"kɑː<span class=""sp dsp"">r</span>",85car
catch,kæʧ,kætʃ,86catch
beer,bɪə,"bɪə<span class=""sp dsp"">r</span>",87beer
board,bɔːd,bɔːd,88board
child,ʧaɪld,tʃaɪld,89child
cinema,ˈsɪnəmə,ˈsɪn.ə.mɑː,90cinema
city,ˈsɪti,ˈsɪt.i,91city
classroom,ˈklɑːsrʊm,ˈklɑːs.ruːm,92classroom
clock,klɒk,klɒk,93clock
afternoon,ˌɑːftəˈnuːn,ˌɑːf.təˈnuːn,94afternoon
age,eɪʤ,eɪdʒ,95age
April,ˈeɪprəl,"ˈeɪ.pr<span class=""sp dsp"">ə</span>l",96April
August,ˈɔːgəst,ɔːˈɡʌst,97August
begin,bɪˈgɪn,bɪˈɡɪn,98begin
buy,baɪ,baɪ,99buy
bored,bɔːd,bɔːd,100bored
